	BMAL1 (ARNTL)	CLOCK	CRY1	DEC1 (BHLHB2)	NPAS2	RORC	PPP2R5E	PER2	PER1	PPP1CC	CSNK2A1	CSNK2A2	NR1D2	PPP2R1A	PPP2R1B	NONO	NFIL3	DBP	RORA	PER3	NR1D1	FBXL3	HSP90AA1	KAT2B	HLF	CREBBP	CREM	TEF	DNMT3A	DNMT3B	HCFC1	MCC	NME1	PXN	PSPC1	RBBP5	NCOA2	NCOA1	SP1	CUL4B	CUL4A	NCOR1
34	131.2	742.75	1820.0	14648.1	70.0	1035.95	4633.700000000001	516.4	818.1	76890.9	6328.6	3803.8	30297.75	18017.4	4256.7	22319.9	953.0	62825.399999999994	8240.8	516.4	921.2	3860.0	21265.133333333335	52385.1	1131.7	2230.7	2132.0	6255.433333333334	141.5	127.2	2239.7	2435.8	29381.2	6590.9	616.1	2295.4	8246.1	1565.8	7238.6	2799.2	7913.4	11052.5
35	110.3	771.125	3193.9	22986.1	69.2	1459.45	4618.75	856.55	534.4	73685.3	6399.6	3815.2999999999997	23105.800000000003	17435.1	3560.7	21269.5	1465.5	48658.6	8423.6	376.04999999999995	313.9	3491.1	34042.63333333334	51105.4	1456.9	1778.1	2502.15	6284.866666666666	130.8	124.1	1764.0	1929.8	29942.1	6198.0	971.5	2267.2	7247.2	1501.6	6511.5	2834.5	7607.9	9986.4
36	140.5	859.875	2658.8	18109.4	69.6	1348.15	4107.4	549.85	672.1	70999.7	5764.0	3317.65	24477.850000000002	15606.4	4004.8	20197.4	1496.6	41122.25	9118.7	381.65	369.1	3884.8	28088.533333333336	47790.6	1256.5	1910.9	2475.2	5911.333333333333	138.1	124.5	2286.1	2515.1	29709.9	6334.8	637.8	2028.6	7958.3	1539.5	5965.2	2753.7	7830.6	9661.0
37	323.7	1008.3499999999999	5441.1	20263.4	69.8	1496.9	5248.35	999.9499999999999	885.5	72842.8	6256.3	3436.1000000000004	22816.95	15332.5	3492.7	21241.6	1713.8	27158.3	9867.6	346.65	157.4	3298.5	45892.666666666664	45741.2	1275.6	1555.7	2552.1499999999996	5377.5	140.5	174.0	1642.8	2764.2	29252.7	6625.6	600.8	2396.2	7567.6	1146.3	6947.5	3045.8	7097.4	11313.6
38	422.8	1255.9	5217.3	18742.4	68.8	1959.75	4198.25	1271.95	573.5	71362.9	5210.5	3508.2	17539.4	14462.0	3764.2	22560.2	1856.9	17611.05	7888.3	429.2	122.0	2728.3	61601.03333333333	46853.3	1404.8	1555.9	2880.3	4822.3	135.7	210.2	1624.2	1823.3	32952.1	5698.6	600.2	1945.3	5969.9	1176.1	6374.4	2343.1	7530.1	10695.4
39	1240.3	1441.625	6431.1	16074.0	70.7	2744.05	3666.8500000000004	1207.45	577.7	53064.1	5181.8	2985.4	12150.699999999999	13913.4	3746.1	21635.8	2336.7	8767.2	8075.0	337.5	222.4	3116.2	86616.36666666665	34287.5	1467.5	1063.2	2597.4	3783.6666666666665	142.3	267.5	1531.3	2338.8	37156.4	4982.4	504.9	2466.3	5098.5	1188.7	6633.3	2322.6	7840.5	9325.7
40	1555.1	1571.25	7102.9	21574.9	71.6	3153.8	3695.6	1171.3	495.0	55854.9	4471.8	3047.5	9841.800000000001	14465.3	4137.7	20689.2	2106.2	3992.05	8999.8	249.14999999999998	120.9	3158.6	90626.60000000002	32446.8	1337.8	1284.8	2487.75	3414.5333333333333	140.7	206.6	1606.7	2459.8	33067.3	5994.8	614.4	2240.7	6016.6	1182.8	6778.8	2148.3	7841.3	9386.8
41	2093.8	1639.9499999999998	8937.4	17005.0	73.6	2726.95	3751.85	712.9	506.7	51695.5	3087.8	2856.6499999999996	10343.1	14553.7	3377.1	19820.0	3123.6	3235.25	9345.0	193.7	122.4	3217.8	90832.39999999998	31466.0	1047.6	1060.8	2965.45	3181.4	141.2	233.0	1919.7	2972.5	33797.3	6325.9	359.8	1551.5	7020.1	1182.0	6512.3	1832.1	7833.4	9767.7
42	2637.4	1729.75	9548.7	13093.1	71.1	3842.3	3674.05	962.2	489.4	50716.8	6202.1	3003.7000000000003	8699.099999999999	14306.2	3649.3	22992.6	4720.3	2047.6	13677.9	130.2	120.3	3649.7	91532.66666666667	28966.7	1009.1	2233.7	3083.3	3041.6666666666665	141.6	235.9	1466.6	2849.3	34837.7	5768.4	613.8	2640.7	6430.6	944.3	6927.3	2212.1	6908.6	11328.25
43	3298.6	1817.6	10807.0	9700.0	72.1	3467.8	3293.25	487.55	492.5	49272.2	5726.1	2624.35	7574.35	13318.5	3708.4	21412.8	5188.3	1488.85	13719.3	186.55	118.8	3795.9	88900.03333333333	25449.1	899.0	1744.1	3004.4	2775.0333333333333	97.4	263.8	1849.4	3089.0	38586.5	5797.9	461.9	2196.4	5338.7	1197.1	7897.1	2136.8	6260.9	10898.95
