	BMAL1 (ARNTL)	CLOCK	CRY1	DEC1 (BHLHB2)	NPAS2	RORC	PPP2R5E	PER2	PER1	PPP1CC	CSNK2A1	CSNK2A2	NR1D2	PPP2R1A	PPP2R1B	NONO	NFIL3	DBP	RORA
18	0.5904937433310699	0.5187976513890106	0.825702455713245	0.4221544685510044	0.0	1.0	0.35102040816326524	0.7970151792168035	0.2855562261114464	0.18126124690879747	0.6676723137618937	0.431657941228909	0.15000462841659512	0.6542354250170918	0.651235396804082	0.1596809045969869	0.4544040195365801	0.01949725034434212	0.5597858608309112
19	0.7766029682801435	0.5957190430286566	1.0	0.45715071264096946	0.027577053531927447	0.563836948905711	0.2746228926353151	0.2831327862579192	0.3068799034399517	0.4337821838102446	0.836199075929872	0.514530690309091	0.13930278787574504	0.6858251672319262	0.7082717872968981	0.3902850546132671	0.47594271650279923	0.015178153431937468	0.8034279363993844
20	0.6518964012028324	0.7882635176583999	0.859610294999124	0.3405456625376205	0.008110898097625718	0.7094398725047054	0.2752440106477373	0.1449891577022833	0.2885737276201971	0.1844511146433396	0.8455874596510475	0.37603124949349226	0.10757538435469674	0.6294556081343753	0.5864106351550961	0.44346268833436936	0.574378004769374	0.0109925250829436	1.0
21	0.9215248811717917	0.6755542897204453	0.98876808587158	0.4384104399569912	0.08361598584279605	0.7974500941102118	0.21054125998225384	0.06331051490284453	0.37054918527459263	0.3064554088353182	0.8108820861199604	0.4016402742434801	0.09252283221440706	0.640749628001126	0.9588424869074794	0.5270254269899065	0.5155642271446244	0.007129389303409275	0.9657526927679946
22	0.8024832670482103	0.6372360003505391	0.7302404072260492	0.34726702310989355	0.14304674826721722	0.7148941431849094	0.17288376220053234	0.0985586121858923	0.2944075638704486	0.2766712408621696	0.874469925525855	0.6296092192489099	0.06198940327942928	0.740646406691958	0.7592654760306162	0.4474143800136164	0.612966576125075	0.005510151402131297	0.5049153701487433
23	0.9887282956639829	0.9823963719218297	0.8565487223467139	0.5799959740572175	0.6190827311605956	0.32588236910437296	0.3382608695652174	0.1309579488923849	0.2581975457654395	0.3494516396499474	0.913964429629317	0.5948425369142745	0.014682278812677783	0.7400833813692239	0.7441251510675441	0.3946807565935532	0.43578560771261343	0.0017222187217776654	0.30197469652932113
24	0.7951692695702783	1.0	0.757785339493365	0.14993691053078623	0.7792361008700781	0.2377759764793163	0.2662111801242236	0.10259789957056	0.2289277811305572	0.3589995184422151	0.692061013945442	0.5380488516459471	0.0032383226618259192	0.7523962089628268	0.7251577816570431	0.49153420359352323	0.5996276317635206	0.0005210016510806549	0.17808599760642838
25	1.0	0.7395824204714749	0.5495707343163563	0.010668748373666416	0.4869488276065478	0.12428043469300835	0.29685891748003546	0.0041243250138186345	0.3049688191510762	0.30274053449293425	0.7203316525665099	0.48008817284470867	0.0	0.7987385551697789	0.6220290049684435	0.36500606814078107	0.6703648443577286	0.0004295384223473799	0.2114784578560437
26	0.7783684159472305	0.9795372885811937	0.47445154507981296	0.025986969692506356	1.0	0.11929328039347682	0.30977817213842046	0.09468940005952638	0.25407362703681347	0.4090851488303216	0.876579674676681	0.8739646984456294	0.15211487259302722	0.9577395873828707	0.7359675036927622	0.6119793979220322	1.0	0.002802839831626359	0.34065652248247547
27	0.4546318750606266	0.8614385242310054	0.21723333425549374	0.12144600081500796	0.48178734699896775	0.08485031667742866	0.19320319432120667	0.02342786683107276	0.0	0.6694232530857719	1.0	1.0	0.35402993879507405	1.0	1.0	0.8257999585590385	0.5213410357448004	0.027027722843381757	0.1050286373739101
28	0.36251818799107577	0.8223862939269126	0.06527973736870742	0.04745211828416283	0.051614806075800025	0.031200626485498765	0.026583850931677047	0.0	0.10309796821565077	0.6370828460427178	0.9841135888942805	0.43071786310517524	0.47718661305025195	0.6315803584594554	0.6467033704847588	0.8059970991326999	0.3123812438629379	0.06458794460444864	0.2672999658061206
29	0.26388592491997287	0.5892012093593902	0.06568548796119549	0.33722671458520515	0.0044241262350685736	0.03600917746300852	0.24149068322981365	0.021089332029423032	0.2776101388050694	0.5409523257792729	0.718074220975126	0.5452615200090766	0.5696937557168789	0.8625950105232114	0.7865583456425406	0.681378207974425	0.22884068505553645	0.1525884432484216	0.13603821166011276
30	0.10487923173925696	0.39331566032775395	0.048192104462334365	0.5678985069643901	0.008995723344639446	0.053663428909008486	0.37934338952972496	0.06122709298864749	0.30034198350432506	0.6003975567278691	0.6365535137872107	0.5685203494497301	0.7222887284719791	0.7998176870383527	0.9213777360010743	0.42206139182429053	0.10478595202570871	0.43018137497010506	0.2093520259873482
31	0.003686099524687169	0.3391793006747874	0.06118534502632768	0.8008925809730018	0.004866538858575448	0.0	0.36738243123336284	0.14022705046983294	0.8379601689800844	0.773718531284963	0.7981392012489714	0.9725432354895701	0.7801172636801089	0.8121506226791961	0.9334295689539411	0.6234644643755737	0.0665034367547853	0.8146833034892206	0.05554368268080015
32	0.003123484334077022	0.21474892647445445	0.08413791831502845	0.7023944540183328	0.00029494174900457576	0.02985423221179605	0.5411889973380657	0.24771461371656964	0.42757996378998187	0.8872249599003574	0.7845102217346358	0.7246543592070925	0.9852424113579773	0.7157794549378661	0.6151470390761379	0.5439274191161234	0.09407398905849497	0.7802768693559567	0.13231962728671567
33	0.007081191192162191	0.028349837875733964	0.11705904593281137	0.9690542471241512	0.0054564223565845785	0.07406542377072829	0.7054125998225378	0.5957736298312003	1.0	0.9174870649234036	0.8059030781240111	0.88155015640955	1.0	0.687279649315656	0.5165838592721902	0.47637865198472623	0.08169146996187053	1.0	0.13090912976577185
34	0.004054709477155882	0.0	0.09237281102166155	0.590630354626643	0.004276655360566296	0.04364790415870966	0.7818456078083409	0.32969088821803655	0.6339770669885334	1.0	0.6837275047996794	0.6817511386291069	0.8937284170658348	0.889606820649624	0.6229689807976365	0.36999378385578574	0.0468520856446944	0.8486994945132226	0.037666695161565976
35	0.0	0.012433178511962142	0.2190684335260649	1.0	0.003096888364548014	0.16001483781444487	0.776539485359361	0.6189463837748204	0.3486220076443371	0.8839337115794736	0.6987067237705438	0.6854790346370161	0.6680515307507292	0.8505771009558023	0.38931784611252845	0.2145309771186692	0.11220781208156395	0.6567378250586212	0.05719994870918107
36	0.005858958191871181	0.05132109368153537	0.16972362851688938	0.7605693272256837	0.0036867718625571448	0.12943245359748307	0.5950488021295472	0.35813597516901235	0.48712532689599675	0.7866952463367212	0.5646110677440452	0.5241583869556056	0.7111052188142781	0.7280051476600935	0.5384047267355982	0.055856495870704424	0.11617378884680618	0.5546194689306188	0.13147546589160544
37	0.04140071781938112	0.11637893260888618	0.42629632703497755	0.866323970561521	0.003981713611561721	0.17030513690631566	1.0	0.74089034397721	0.7017702675518005	0.8534290172962524	0.6684740184392076	0.5625557158370748	0.6589876789981282	0.7096465005295118	0.3664898616892708	0.21040168131900644	0.14387186451917314	0.36540643887580176	0.21149982903060352
38	0.06062663691919682	0.2248488300762423	0.4056583764443338	0.7916476416321763	0.0025070048665388625	0.29748444090290843	0.6272937000887311	0.9721926952676561	0.38795011064172197	0.7998457566793513	0.44783645224582797	0.5859280029823166	0.4933829332237156	0.6512996501199779	0.4576339465556599	0.40555900896900826	0.16212045857403373	0.23604017065005967	0.0
39	0.2192259190998157	0.3062286390325125	0.5175902103447958	0.6606375718655335	0.005308951482082301	0.5129899569978155	0.43868677905944997	0.917343424465326	0.3921746127539731	0.13729465905346747	0.4417814721829575	0.4164546088140428	0.3242904009777725	0.6145287343995066	0.451557674231234	0.2687446348755291	0.22330617085580934	0.11620504836372286	0.019949991451530154
40	0.2802987680667378	0.363026903864692	0.5795409485342259	0.9307145066501703	0.006636189352602861	0.6255787434569359	0.4488908606921029	0.8866023215272759	0.3089921544960772	0.23834213775449262	0.2919892824743138	0.43658524725675474	0.25183920723852976	0.6515208386396235	0.5830200080569355	0.12864458455436178	0.19391203438030022	0.051501250336212064	0.11877030261583164
41	0.3848093898535261	0.3931294365086321	0.7487112807886316	0.7063467515060463	0.009585606842648576	0.5082913157569344	0.46885536823425017	0.4967898294995537	0.32076041038020514	0.08774127674365569	0.0	0.37471838176896755	0.2675695478429225	0.6574460098931593	0.3276822881697327	0.0	0.32365430965224384	0.04124652863171688	0.1556569499059668
42	0.49027063730720727	0.4324774340548594	0.8050829483313507	0.5142847323484504	0.005898834980091432	0.8147608776292469	0.44124223602484475	0.7087886389727456	0.3033594850130758	0.052305141081948316	0.657039178041731	0.4223868259396729	0.2159823147417421	0.6408568709197421	0.4190613669934202	0.46955569369209355	0.527270872387365	0.025153742912446656	0.618652761155753
43	0.6185469007663207	0.47097099290158617	0.9211183961785672	0.3476941658197458	0.0073735437251142896	0.7118578867105388	0.3060869565217391	0.3051575322080021	0.3064775699054516	0.0	0.5566151184624148	0.29941488240919323	0.1806886770102625	0.5746544767215839	0.43890157110245737	0.23573986916496456	0.5869518089189845	0.017582620089525564	0.6230765942896219
44	0.7449995149869046	0.7909473315222154	0.8933705886150073	0.32114749188674335	0.0045715971095708725	0.69831151167104	0.23959183673469375	0.22390407755431782	0.29692214846107423	0.11419074757320233	0.7530538618958206	0.28221793604227113	0.1230515542850508	0.43371717361287976	0.48996240096683225	0.7092028535062014	0.4076029432393487	0.01299048850171714	0.7666374593947681
45	0.9098845668833059	0.7124813776180879	0.9809389437574351	0.3267199858601034	0.035245539006046316	0.5624218610466153	0.35242236024844725	0.12789659424295255	0.2893783946891973	0.15830940630804502	0.5231966919133315	0.5347423699693664	0.08202809370425515	0.6185503438476078	0.7408016651000402	0.379406802237812	0.5034877641327774	0.006132101357517566	0.6265387245683023
46	0.7295372975070327	0.8296709315572693	0.6286828782471574	0.1777699222796656	0.06695177702403776	0.3853710140547076	0.0	0.009694289723202524	0.3089921544960772	0.3290053478259297	0.7465769320027849	0.24657600855795264	0.09447931882259356	0.4629475716181615	0.618067678259702	0.5786786253441083	0.4654858002729001	0.005045382699086656	0.586531885792443
47	0.9869240469492675	0.7629261239155201	0.6710561503490377	0.46967532244364907	0.603745760212358	0.2346160715512385	0.20019520851818992	0.012287937412304962	0.2848521424260712	0.37118691321459757	0.6311947509441128	0.5155031849198501	0.04208564296551281	0.5923093421987479	0.7908218074392371	0.2820797442500669	0.34722062818011407	0.0	0.27289921354077623
48	0.7994761858570181	0.8413153974235389	0.597071218450586	0.10720300080027888	0.432384604040702	0.15681371673513123	0.1902395740905059	0.008503762915089929	0.29682156507744917	0.09194857107684287	0.6481360366252452	0.3094153686564986	0.043395720205156516	0.5995616445701569	0.7694709278904257	0.5921321374655892	0.5121721055383399	0.0008177490154152803	0.15333817746623343
49	0.9681831409448055	0.7715690999912366	0.4289890355123984	0.0	0.5528683085090694	0.15971258603871563	0.2601597160603371	0.005740039967685702	0.3047676523838262	0.12752591541238387	0.6615751387160067	0.5355203656579736	0.09361796264946255	0.6881509980294113	0.7743386598630322	0.48385282538554913	0.792493974520831	0.000648372665909216	0.3434134040006838
50	0.8589387913473663	0.9199347121198843	0.40563993323558434	0.015931932108857568	0.31912697242294646	0.09475593169109867	0.32113575865128646	0.05799566308091333	0.2701669684168175	0.25718444387317313	0.6535158969598515	0.5748901891502016	0.16453471861580532	0.6803490757000951	0.9740835235665369	0.685433502057248	0.6896846347093105	0.003919368727570338	0.38495896734484514
51	0.8520710059171598	0.746045482429235	0.2600584649717358	0.05258274048871018	0.253354962394927	0.09443994119829087	0.29444543034605136	0.0042518814575449645	0.19100784550392272	0.17178940355628636	0.8709255469524673	0.48712255052919895	0.24877817646661965	0.7161816158826761	0.7657781657043106	0.8501317230559751	0.5692260606756189	0.008511500315378763	0.38647632073858773
52	0.6442137937724318	0.6908136885461397	0.1840447801108437	0.09789423553729155	0.055301577938357174	0.02239410883811669	0.25105590062111793	0.021727114248054777	0.2983303158318245	0.3162893257104788	0.6622080634612545	0.582297356435483	0.316597815701158	0.9438784401517485	0.9548811601987376	0.9626735340259899	0.4282234719512351	0.025913903969029872	0.36173918618567275
53	0.0404888932001164	0.49154324774340563	0.06840586125174057	0.7816122427938079	0.0038342427370594433	0.0563699561734925	0.2983141082519964	0.19261023002678687	0.29189297927982294	0.7748735458222148	0.8403974767400156	0.573950111026468	0.8618849108912133	0.758381704358084	0.8638042164630053	0.6690791226356454	0.05396788961577209	0.5076575047611692	0.20989699093862196
54	0.06452614220583955	0.4547585662956797	0.0	0.46843317180465344	0.00044241262350687416	0.031104455465948595	0.2089618456078083	0.05000212594072879	0.26453429893381614	0.5298909796623303	0.5802865039346822	0.5620046355576446	0.8680807133096002	0.7216107886376127	0.9212434537397609	1.0	0.1636507389979214	0.40121734169917006	0.22114891434433226
55	0.19747793190416144	0.6207716238717027	0.06575003919181859	0.15381065303737745	0.0073735437251142896	0.029483286850673897	0.25675244010647735	0.004592031974148566	0.27549788774894385	0.5940431664053702	0.6205405177324417	0.49683128839327684	0.641115715121743	0.6387790393715564	0.9215120182623875	0.9942870674599653	0.2140479742912889	0.12517115480117588	0.20227816720806963
56	0.003763701619943737	0.2467794233634213	0.03771636189264208	0.5965612557013733	0.004276655360566296	0.05289406075260688	0.5499911268855368	0.2290913729325227	0.6726010863005432	0.7856054050335465	0.6854785965948648	0.5635930434218842	0.9625647389965278	0.6558842848908132	0.6646300523700819	0.5800698576206968	0.06455232921432853	0.7796163015928831	0.11036074542656865
57	0.01474439809874867	0.0858272719305933	0.0629927794837746	0.9368614339229867	0.008553310721132593	0.0771703738304917	0.5330789707187222	0.47251158637697194	0.8235767451217058	0.6200183209202463	0.5330492204476887	0.5603676029628668	0.9441044170783864	0.6847728460930064	0.5638847858197931	0.4713465352396178	0.025504673731461293	0.7556387080514064	0.13476662677380744
58	0.007119992239790475	0.06470729997370961	0.13743879160096273	0.663892693895787	0.0054564223565845785	0.0714962836770302	0.7612777284826974	0.46791955440282335	0.9844095755381211	0.5155709718415422	0.565243992489293	0.42173849619916676	0.8616464297649548	0.6251859994369746	0.4002282798442325	0.5267738211526509	0.09520894703954501	0.724876575454115	0.1167827833817747
59	0.08435347754389369	0.14705109105249328	0.10093045988141017	0.42296456679382766	0.007521014599616588	0.0818003214859796	0.6566637089618456	0.3931714783791828	0.9613759806879902	0.6516056150361893	0.6504989556741704	0.5593302753780571	0.8568501350085586	0.6398246578280626	0.5362226399892575	0.4637095580617469	0.1342438501855465	0.46450312092861606	0.15645836895195755
60	0.01451159181297895	0.1657611077030935	0.39616934554273747	0.3225123846837426	0.007078601976109735	0.16153983541016936	0.7957763975155278	1.0	0.7857573928786965	0.859080984984811	0.31207409439017697	0.4238941925863493	0.7878647623739541	0.3237931820314489	0.14713978783402717	0.33260811650830296	0.14241809811647987	0.22899411451060736	0.018806633612583345
61	0.03397031719856435	0.29041056874945237	0.13123265185677005	0.23751098542314136	0.03200117976699602	0.07718411254757028	0.3875598935226265	0.40333347506271533	0.3196539931603299	0.6762193731059031	0.7171037363657462	0.06006775045788286	0.5922098257361929	0.0	0.036927621861152136	0.6715803806648314	0.0	0.1423696293300217	0.24162249957257645
62	0.10342419245319624	0.4639602138287616	0.2779114910412113	0.17752934764997869	0.010617902964164582	0.19411433360352803	0.49637976929902394	0.8047961222841107	0.3087909877288272	0.4757899539080408	0.38087301419861186	0.027667471676094502	0.30432074456317937	0.11075512420070509	0.0	0.5358760323239501	0.11815040106099443	0.06830067418562158	0.03985724055394074
63	0.17609855466097585	0.5488125492945405	0.3724421574865595	0.31941437261573363	0.007815956348621164	0.19028123153859886	0.45334516415261755	0.46974786342956776	0.31432307382820357	0.15603558458580602	0.6420810565623747	0.09389435466878449	0.3365627652514171	0.1366073702695819	0.1055794279575668	0.31449249622591274	0.11855847584069781	0.06916246105190844	0.09633056932809016
64	0.1823455233291299	0.4429388309525896	0.3274776145553803	0.1212005164990009	0.01002801946615545	0.22139942572162602	0.36472049689440983	0.48088779284833544	0.31130557231945283	0.20032441787629415	0.4051984219076351	0.06685900448968345	0.3685835633159545	0.10747751250050269	0.1621794011011145	0.33725542432584454	0.07949806802096485	0.05293959429621756	0.1689391348948537
65	0.3239887476961878	0.6260844798878276	0.5627852933853431	0.13830586363837216	0.01400973307771715	0.4611949936114965	0.16347826086956516	0.46281729665376936	0.2890766445383222	0.16096340522906605	0.025865524589126335	0.0	0.2234411257564323	0.18156226121693902	0.2986437491607358	0.31647574223721986	0.15276024331458743	0.019077874502965105	0.16915284664045124
