	BMAL1 (ARNTL)	CLOCK	CRY1	CRY2	CSNK2B	DEC1 (BHLHB2)	NPAS2	CIPC (KIAA1737)	RORC	DEC2 (BHLHB3)	PPP2R5D	PPP2R5E	PER2	PER1	CSNK1E	PPP1CC	CSNK2A1	CSNK2A2	NR1D2	EZH2	FBXL15	PPP1CA	PPP1CB	PPP2R1A	PPP2R1B	GSK3B	FBXW11	NONO	WDR5	CSNK1D	PPP2CA	RORB	NFIL3	RASD1	PRKACA	BMAL2 (ARNTL2)	DBP	RORA	PPP2CB	PER3	TIMELESS (TIM)	PPP5C	PRKCA	BTRC	NR1D1	FBXL3
19	0.7766029682801435	0.5957190430286566	1.0	0.6436936936936937	0.5729450699509018	0.45715071264096946	0.027212754260582752	0.5717689001432712	0.563836948905711	0.26923076923076783	0.5439290586630287	0.42335766423357674	0.26488602884168094	0.3068799034399517	0.9791332263242387	0.4321069708274374	0.44801085616959996	0.5169544520591651	0.13930278787574504	0.34471675371635185	0.45079787234042545	0.508415724625749	0.024176753444911762	0.6954326760181611	0.7082717872968981	0.6573794979860758	0.7038014303131763	0.3692359241585689	0.3789203860072378	0.7277110292557807	0.4167116520259773	0.0	0.47594271650279923	0.35999999999999943	0.45189047097480833	0.038297872340425754	0.015178153431937468	0.7643387369984598	0.42716175718149246	0.029592955138138245	0.11196911196911216	0.7551686871534626	0.18626528692380062	0.3608921933085502	0.0002461386991569741	0.6408908059904037
20	0.6518964012028324	0.7882635176583999	0.859610294999124	0.5304258804258805	0.6073399522498664	0.3405456625376205	0.007971412864211101	0.29420584413420864	0.7094398725047054	0.2211538461538447	0.5075034106412006	0.4490385277509986	0.13250116297100326	0.2885737276201971	0.7800963081861958	0.1942562497320013	0.5393189969120844	0.4064984621667496	0.10757538435469674	0.2808356769787063	0.8768617021276597	0.6156401463355264	0.13710314907072094	0.6271965846716815	0.5864106351550961	0.635253007548881	0.5085118191909443	0.28449779893470706	0.5068858061921994	0.600421704947962	0.27945723119203114	0.07831325301204634	0.574378004769374	0.3	0.5316188389923329	0.13617021276595748	0.0109925250829436	1.0	0.4954681675316133	0.02621036320344685	0.10424710424710379	0.9355793628418382	0.2953904045155222	0.24416356877323422	0.00021537136176235397	0.7476615131100665
21	0.9215248811717917	0.6755542897204453	0.98876808587158	0.4656429156429157	0.5669654311645728	0.4384104399569912	0.07930181418361736	0.3643421184153536	0.7974500941102118	0.2980769230769228	0.4814461118690314	0.3249337212505165	0.057915955962164714	0.37054918527459263	0.5040128410914932	0.3177465231622431	0.5081352036224158	0.4930382735428872	0.09252283221440706	0.2535154680594616	0.25824468085106383	0.5829938645036118	0.17337353162858235	0.6387206071694792	0.9588424869074794	0.4763397263197205	0.28162702673193424	0.38627829322118123	0.5939384800965019	0.7114599605294453	0.21617509937674892	0.17168674698795108	0.5155642271446244	0.3799999999999997	0.5058838992332969	0.05957446808510598	0.007129389303409275	0.9397987070715937	0.39514655361450196	0.03649041913904532	0.12741312741312671	0.7032938633587066	0.19379115710254022	0.4774721189591084	0.0031998030890406765	0.7668298357000919
22	0.8024832670482103	0.6372360003505391	0.7302404072260492	0.518018018018018	0.6593954259024907	0.34726702310989355	0.15530511269928532	0.48962116416219625	0.7148941431849094	0.27884615384615324	0.5754433833560709	0.30132299270072976	0.08958753295084512	0.2944075638704486	0.6292134831460677	0.2866193559452856	0.5955661409363445	0.6250494531439438	0.06198940327942928	0.3732422659702692	0.4946808510638297	0.6634426076933541	0.09574845251445084	0.8061082875923293	0.7592654760306162	0.6648216810264345	0.4975206085200079	0.31647968202983273	0.7350723763570566	0.6420200695556028	0.21958580752809548	0.06325301204819177	0.612966576125075	0.2	0.6040219058050383	1.0	0.005510151402131297	0.679295950360915	0.42946422045172133	0.02585131713216676	0.0	0.8262381355135789	0.15380997177798691	0.4114498141263938	0.00246138699156975	0.5437406097029029
23	0.9887282956639829	0.9823963719218297	0.8565487223467139	0.17354627354627353	0.5116091969018949	0.5799959740572175	0.5860362836723474	0.6879518875154099	0.32588236910437296	0.2788461538461519	0.5890859481582538	0.4620919983473354	0.1196697162350752	0.2581975457654395	0.46067415730337097	0.3380894186927376	0.6747441738094908	0.6667304771749811	0.014682278812677783	0.2559260747288068	0.26515957446808514	0.6174084866014219	0.20818900201954432	0.7456637527952836	0.7441251510675441	0.6341726906559254	0.6302067221079835	0.32035032178303613	0.7792521109770807	0.5670388727106759	0.2932145719847538	0.20481927710843242	0.43578560771261343	0.35999999999999943	0.8966484118291347	0.14042553191489401	0.0017222187217776654	0.5487957912143795	0.38465755427234866	0.017517668846139298	0.10038610038610014	0.7786862137017195	0.15569143932267168	0.323271375464684	0.003169035751646052	0.1375224155479089
24	0.7951692695702783	1.0	0.757785339493365	0.20503685503685506	0.4153435356843099	0.14993691053078623	0.7355689939527214	0.6383067337487088	0.2377759764793163	0.03846153846153767	0.45388813096862207	0.4587522379837488	0.09346410296169946	0.2289277811305572	0.7624398073836286	0.334158769635379	0.5238794189733722	0.5177839886672538	0.0032383226618259192	0.379268782643632	0.3202127659574468	0.4096965184458653	0.42152009433293336	0.798383140204649	0.7251577816570431	0.6270105897730002	0.7652948883591429	0.4238754924955809	0.7040108564535585	0.6861833773680726	0.35774811470448764	0.11445783132529988	0.5996276317635206	0.2799999999999997	0.8330514786418401	0.012765957446808382	0.0005210016510806549	0.31965038981754873	0.22717637599590662	0.007029744132431312	0.8262548262548257	0.488534912132318	0.0	0.39717472118959113	0.0	0.0
25	1.0	0.7395824204714749	0.5495707343163563	0.047788697788697806	0.4662291745489179	0.010668748373666416	0.48653106102253985	0.29580515110118955	0.12428043469300835	0.4519230769230762	0.5394270122783084	0.39902819859523486	0.0041479299116142	0.3049688191510762	0.7961476725521675	0.29315495333247577	0.3076699392109893	0.46318771775335976	0.0	0.3483326637203697	0.26063829787234033	0.5994172352322111	0.465002009039364	0.8096808294368776	0.6220290049684435	0.37069540398516904	0.7609320692227903	0.3657927879004959	0.44280257338158413	0.594661832487995	0.3692071125942651	0.35843373493975805	0.6703648443577286	0.5399999999999991	0.8507338444687842	0.2808510638297874	0.0004295384223473799	0.1586233641748344	0.3748994956509029	0.020484523224611657	0.16602316602316533	0.5900291326003191	0.416274694261524	0.28267657992565065	0.003507476462986895	0.16791062860466244
26	0.7783684159472305	0.9795372885811937	0.47445154507981296	0.4657248157248157	0.47110855979856225	0.025986969692506356	1.0	0.5007829940359178	0.11929328039347682	0.06730769230769126	0.8746248294679402	0.6488603498140751	0.08644751124205304	0.25407362703681347	0.19422150882825046	0.34737289710275443	0.8152512566293251	0.8460507676404152	0.15211487259302722	0.30815588589795107	0.47367021276595744	0.4308808052749518	0.09748174137754428	0.9901240089449074	0.7359675036927622	1.0	1.0	0.5627563576702219	0.8358464012866906	0.6376937367815428	0.47680391290834406	0.006024096385541828	1.0	0.0	0.9188170865279299	0.0	0.002802839831626359	0.908931596258044	0.2425992252028359	0.0	0.04247104247104224	1.0	0.33725305738476025	0.39301115241635687	0.09820934096363301	0.29355886201715675
27	0.4546318750606266	0.8614385242310054	0.21723333425549374	0.4487714987714987	0.4648158053812401	0.12144600081500796	0.4512094557449148	0.3522307000299871	0.08485031667742866	0.0	0.7354706684856754	0.5562293416884726	0.021204837959373567	0.0	0.37560192616372406	0.6276567614310424	0.9321350928451754	1.0	0.35402993879507405	0.7464845319405383	0.25478723404255316	0.3033025723265487	0.01796842788073914	1.0	1.0	0.8881138467283739	0.8516641493640014	0.7567851737166225	1.0	0.4688317615824223	0.39380183540265973	0.05722891566264994	0.5213410357448004	0.11999999999999886	0.8930120481927711	0.00425531914893653	0.027027722843381757	0.7693838651022745	0.2302463270228782	0.036169167391057855	0.06949806949806937	0.8425664881120192	1.0	0.3849814126394049	0.35960863946834043	0.21424417195754375
28	0.36251818799107577	0.8223862939269126	0.06527973736870742	0.18251433251433252	0.35618207673942265	0.04745211828416283	0.04947773501924134	0.12371305767500747	0.031200626485498765	0.21153846153846062	0.13028649386084587	0.19343496074920796	0.0	0.10309796821565077	0.394863563402889	0.6216357217386336	0.8583297561515986	0.46217951172199057	0.47718661305025195	1.0	0.2992021276595744	0.1241417822292542	0.18468455455789334	0.6909182083079219	0.6467033704847588	0.4777534743524768	0.6874192491765689	0.6821338201481243	0.4724065138721353	0.3590406212433867	0.22331550277273468	0.0933734939759022	0.3123812438629379	0.3	0.5503263964950711	0.11063829787234072	0.06458794460444864	0.6279117413557823	0.3229296104085958	0.036528213462337956	0.10038610038610014	0.5473404755192177	0.2295390404515524	0.8231970260223053	0.23244723401636824	0.43406193961130235
