	BMAL1 (ARNTL)	CLOCK	CRY1	CRY2	CSNK2B	DEC1 (BHLHB2)	NPAS2	CIPC (KIAA1737)	RORC	DEC2 (BHLHB3)	PPP2R5D	PPP2R5E	PER2	PER1	CSNK1E	PPP1CC	CSNK2A1	CSNK2A2	NR1D2	EZH2	FBXL15	PPP1CA	PPP1CB	PPP2R1A	PPP2R1B	GSK3B	FBXW11	NONO	WDR5	CSNK1D	PPP2CA	RORB	NFIL3	RASD1	PRKACA	BMAL2 (ARNTL2)	DBP	RORA	PPP2CB
22	0.8024832670482103	0.6372360003505391	0.7302404072260492	0.518018018018018	0.6593954259024907	0.34726702310989355	0.15530511269928532	0.48962116416219614	0.7148941431849094	0.27884615384615324	0.5754433833560709	0.30132299270072993	0.08958753295084512	0.2944075638704486	0.6292134831460677	0.2866193559452856	0.5955661409363444	0.6250494531439434	0.06198940327942928	0.3732422659702692	0.4946808510638297	0.6634426076933541	0.09574845251445084	0.8061082875923292	0.7592654760306162	0.6648216810264346	0.4975206085200079	0.31647968202983273	0.7350723763570566	0.6420200695556028	0.21958580752809478	0.06325301204819297	0.612966576125075	0.2	0.6040219058050383	1.0	0.005510151402131297	0.6792959503609147	0.42946422045172133
23	0.9887282956639829	0.9823963719218297	0.8565487223467139	0.17354627354627353	0.5116091969018949	0.5799959740572175	0.5860362836723474	0.6879518875154099	0.32588236910437296	0.2788461538461519	0.5890859481582538	0.4620919983473352	0.11966971623507525	0.2581975457654395	0.46067415730337097	0.3380894186927376	0.6747441738094908	0.666730477174981	0.014682278812677783	0.2559260747288068	0.26515957446808514	0.6174084866014219	0.20818900201954432	0.7456637527952837	0.7441251510675441	0.6341726906559257	0.6302067221079835	0.32035032178303613	0.7792521109770807	0.5670388727106759	0.2932145719847541	0.20481927710843345	0.43578560771261343	0.35999999999999943	0.8966484118291347	0.14042553191489401	0.0017222187217776654	0.5487957912143794	0.38465755427234866
24	0.7951692695702783	1.0	0.757785339493365	0.20503685503685506	0.4153435356843099	0.14993691053078623	0.7355689939527214	0.6383067337487087	0.2377759764793163	0.03846153846153767	0.45388813096862207	0.4587522379837488	0.09346410296169952	0.2289277811305572	0.7624398073836286	0.334158769635379	0.5238794189733721	0.5177839886672533	0.0032383226618259192	0.379268782643632	0.3202127659574468	0.4096965184458653	0.42152009433293336	0.7983831402046488	0.7251577816570431	0.6270105897730002	0.7652948883591429	0.4238754924955809	0.7040108564535585	0.6861833773680726	0.3577481147044871	0.11445783132530102	0.5996276317635206	0.2799999999999997	0.8330514786418401	0.012765957446808382	0.0005210016510806549	0.31965038981754834	0.22717637599590662
25	1.0	0.7395824204714749	0.5495707343163563	0.047788697788697806	0.4662291745489179	0.010668748373666416	0.48653106102253985	0.2958051511011894	0.12428043469300835	0.4519230769230762	0.5394270122783084	0.39902819859523486	0.0041479299116142	0.3049688191510762	0.7961476725521675	0.29315495333247577	0.307669939210989	0.4631877177533596	0.0	0.3483326637203697	0.26063829787234033	0.5994172352322111	0.465002009039364	0.8096808294368776	0.6220290049684435	0.3706954039851693	0.7609320692227903	0.3657927879004959	0.44280257338158413	0.594661832487995	0.3692071125942645	0.3584337349397589	0.6703648443577286	0.5399999999999991	0.8507338444687842	0.2808510638297874	0.0004295384223473799	0.15862336417483436	0.3748994956509029
26	0.7783684159472305	0.9795372885811937	0.47445154507981296	0.4657248157248157	0.47110855979856225	0.025986969692506356	1.0	0.5007829940359176	0.11929328039347682	0.06730769230769126	0.8746248294679402	0.6488603498140754	0.08644751124205304	0.25407362703681347	0.19422150882825046	0.34737289710275443	0.8152512566293257	0.8460507676404148	0.15211487259302722	0.30815588589795107	0.47367021276595744	0.4308808052749518	0.09748174137754466	0.9901240089449076	0.7359675036927622	1.0	1.0	0.5627563576702219	0.8358464012866906	0.6376937367815428	0.47680391290834406	0.006024096385543105	1.0	0.0	0.9188170865279299	0.0	0.002802839831626359	0.908931596258044	0.2425992252028359
27	0.4546318750606266	0.8614385242310054	0.21723333425549374	0.4487714987714987	0.4648158053812401	0.12144600081500796	0.4512094557449148	0.35223070002998697	0.08485031667742866	0.0	0.7354706684856754	0.5562293416884728	0.021204837959373567	0.0	0.37560192616372406	0.6276567614310424	0.9321350928451753	1.0	0.35402993879507405	0.7464845319405383	0.25478723404255316	0.3033025723265487	0.01796842788073914	1.0	1.0	0.888113846728374	0.8516641493640014	0.7567851737166225	1.0	0.4688317615824223	0.3938018354026592	0.05722891566265115	0.5213410357448004	0.11999999999999886	0.8930120481927711	0.00425531914893653	0.027027722843381757	0.7693838651022743	0.2302463270228782
28	0.36251818799107577	0.8223862939269126	0.06527973736870742	0.18251433251433252	0.35618207673942265	0.04745211828416283	0.04947773501924134	0.12371305767500727	0.031200626485498765	0.21153846153846062	0.13028649386084587	0.19343496074920816	0.0	0.10309796821565077	0.394863563402889	0.6216357217386336	0.8583297561515988	0.4621795117219904	0.47718661305025195	1.0	0.2992021276595744	0.1241417822292542	0.18468455455789334	0.6909182083079218	0.6467033704847588	0.47775347435247706	0.6874192491765689	0.6821338201481243	0.4724065138721353	0.3590406212433867	0.22331550277273352	0.09337349397590336	0.3123812438629379	0.3	0.5503263964950711	0.11063829787234072	0.06458794460444864	0.6279117413557821	0.3229296104085958
29	0.26388592491997287	0.5892012093593902	0.06568548796119549	0.39131859131859126	0.6436961560707468	0.33722671458520515	0.007284222100054971	0.022490254223169737	0.03600917746300852	0.2884615384615373	0.849931787175989	0.22208976036358613	0.02132113505969919	0.2776101388050694	0.32263242375601897	0.5579770735960439	0.528989019206004	0.5442525875161122	0.5696937557168789	0.25070309361189236	0.25824468085106383	0.6621968943076625	0.36303472617975224	0.905674595107407	0.7865583456425406	0.4036250633519168	0.7044064928211381	0.5686489734139039	0.7752814636107759	0.6419107862611614	0.42262518198622573	0.15662650602409633	0.22884068505553645	0.3	0.7507557502738226	0.10638297872340419	0.1525884432484216	0.2099709877694971	0.6628535925736425
30	0.10487923173925696	0.39331566032775395	0.048192104462334365	0.43284193284193273	0.7292202116139805	0.5678985069643901	0.011132490379329294	0.032052777129910316	0.053663428909008486	0.4038461538461531	0.4390177353342428	0.5436880250654181	0.05621026515738874	0.30034198350432506	0.4735152487961485	0.6174656604205079	0.44389825110431025	0.6064805952244214	0.7222887284719791	0.4688629971876256	0.26170212765957446	1.0	0.4216303945333116	0.8162743104967138	0.9213777360010743	0.5207260796500307	0.7067585027205058	0.3432621982922971	0.7039605950944914	0.7971702055168776	0.33374229114524484	0.186746987951808	0.10478595202570871	0.43999999999999917	0.7451128148959473	0.20425531914893594	0.43018137497010506	0.3007174398993167	1.0
31	0.003686099524687169	0.3391793006747874	0.06118534502632768	0.9211711711711712	0.5901533831709047	0.8008925809730018	0.005497526113249038	0.3378036184320127	0.0	0.3173076923076909	0.6084583901773535	0.7895348436854427	0.1358737788804466	0.8379601689800844	0.5313001605136439	0.7421851550105061	0.687095836160461	0.9883226769784444	0.7801172636801089	0.42507030936118917	0.2574468085106382	0.418165937614101	0.2488267472733528	0.8584183777190488	0.9334295689539411	0.832644242311078	0.7933279347806307	0.505759743035737	0.8664053075995174	0.5205806157149376	0.34947080859138563	0.12349397590361375	0.0665034367547853	0.3799999999999997	0.8775640744797372	0.14893617021276587	0.8146833034892206	0.7163240442976149	0.38034500402017374
