	BMAL1 (ARNTL)	CLOCK	CRY1	DEC1 (BHLHB2)	NPAS2	RORC	PPP2R5E	PER2	PER1	PPP1CC	CSNK2A1	CSNK2A2	NR1D2	PPP2R1A	PPP2R1B	NONO	NFIL3	DBP	RORA	PER3	NR1D1	FBXL3	HSP90AA1	KAT2B	HLF	CREBBP	CREM	TEF	DNMT3A	DNMT3B	HCFC1	MCC	NME1	PXN	PSPC1	RBBP5	NCOA2	NCOA1	SP1	CUL4B	CUL4A	NCOR1
53	0.0404888932001164	0.4915432477434055	0.06840586125174057	0.7816122427938079	0.0038342427370594433	0.0563699561734925	0.2983141082519964	0.19261023002678687	0.29189297927982294	0.7748735458222148	0.8403974767400156	0.573950111026468	0.8618849108912133	0.758381704358084	0.8638042164630053	0.6690791226356454	0.05396788961577209	0.5076575047611692	0.20989699093862196	0.17699985941234359	0.6266998953910529	0.8467120551184312	0.14058313793715235	0.6374623000761616	0.4653993819646034	0.6025391280983408	0.5770725632994982	0.5096565816360161	0.30576713819368867	0.08657675016056518	0.7233756111386666	0.5775314420925388	0.15188855211004892	0.8791693301207978	0.3954046206287085	0.707837790798863	0.7694196037173417	0.7469536223097908	0.6996702273695503	0.6913563090605891	0.3040768483046485	0.6760953965612868
54	0.06452614220583955	0.4547585662956797	0.0	0.46843317180465344	0.00044241262350687416	0.031104455465948595	0.2089618456078083	0.05000212594072879	0.26453429893381614	0.5298909796623303	0.5802865039346822	0.5620046355576446	0.8680807133096002	0.7216107886376127	0.9212434537397609	1.0	0.1636507389979214	0.40121734169917006	0.22114891434433226	0.09004639392661325	0.6761430065842102	0.8185820865098454	0.2610620617413639	0.5303884234577304	0.36398539189062634	0.3859743400282125	0.5098298177427266	0.41049809944411486	0.1984040623866521	0.12973667308927422	0.5000354283284915	0.6727193230626786	0.5702961063184891	0.983593122551671	0.3894710263855575	0.6653129894993328	0.5037969219978689	0.4275841163989088	0.42561181501175493	0.9286409116175651	0.4379610040596945	0.5639955233341256
55	0.19747793190416144	0.6207716238717027	0.06575003919181859	0.15381065303737745	0.0073735437251142896	0.029483286850673897	0.25675244010647735	0.004592031974148566	0.27549788774894385	0.5940431664053702	0.6205405177324417	0.49683128839327684	0.641115715121743	0.6387790393715564	0.9215120182623875	0.9942870674599653	0.2140479742912889	0.12517115480117588	0.20227816720806963	0.05134964150147618	0.3539166820503354	0.7637082636878798	0.20520747309021234	0.5826595582635188	0.13587414551924337	0.41606771008262233	0.6419757744990756	0.24759519258233909	0.4860355458832063	0.18304431599229287	0.5362786083752569	0.7524755021732981	0.3032525064117509	0.6765009588434872	0.62984471657619	0.6617160758832744	0.5563873265083155	0.4140042437102152	0.6286665509569715	0.8951500833796553	0.4031391160157812	0.5175104983757229
56	0.003763701619943737	0.2467794233634213	0.03771636189264208	0.5965612557013733	0.004276655360566296	0.05289406075260688	0.5499911268855368	0.2290913729325227	0.6726010863005432	0.7856054050335465	0.6854785965948648	0.5635930434218842	0.9625647389965278	0.6558842848908132	0.6646300523700819	0.5800698576206968	0.06455232921432853	0.7796163015928831	0.11036074542656865	0.4345564459440461	0.3497938588394561	0.8244119205837989	0.01028824180878361	0.7247250571210967	0.5104410525330086	0.39318420993708153	0.10848647220859592	0.7338211060576099	0.16684802321363798	0.13346178548490686	0.5491390916176575	0.6085491628301744	0.16127885287945917	0.7196735014997294	0.2766064890796616	0.45831641236874177	0.7057958699200152	0.5394968172173386	0.5081180870031715	0.7679961089494163	0.5449425353079076	0.49426055780049116
57	0.01474439809874867	0.0858272719305933	0.0629927794837746	0.9368614339229867	0.008553310721132593	0.0771703738304917	0.5330789707187222	0.47251158637697194	0.8235767451217058	0.6200183209202463	0.5330492204476887	0.5603676029628668	0.9441044170783864	0.6847728460930064	0.5638847858197931	0.4713465352396178	0.025504673731461293	0.7556387080514064	0.13476662677380744	0.38492900323351603	0.1223924681558058	0.409433731501488	0.11966245070421336	0.6781995430312262	0.40425133439460614	0.3956695998746109	0.17427644239840015	0.7638872410080637	0.16757344940152333	0.0208092485549133	0.535676326790902	0.4710012602556519	0.2646362788528794	0.5564406418514694	0.2927660648907967	0.4369089748796195	0.6418349316823804	0.4834798423764777	0.4659419032140997	0.7438854919399664	0.7077305735033449	0.6677313604310278
58	0.007119992239790475	0.06470729997370961	0.13743879160096273	0.663892693895787	0.0054564223565845785	0.0714962836770302	0.7612777284826974	0.46791955440282335	0.9844095755381211	0.5155709718415422	0.565243992489293	0.42173849619916676	0.8616464297649548	0.6251859994369746	0.4002282798442325	0.5267738211526509	0.09520894703954501	0.724876575454115	0.1167827833817747	0.4695979193026853	0.09854778167497386	0.31978474458803857	0.07859755534594165	0.6554211728865196	0.6534319692855136	0.38599673092855064	0.1369759631712012	0.8619866851229319	0.26550598476605	0.0	0.5160490328066322	0.5593220338983051	0.12960480298437865	0.6589303568209012	0.6332533770988512	0.617914950397401	0.5850631921121138	0.7932706880872992	0.3962162929769475	0.7780016675931073	1.0	0.4285912368275097
59	0.08435347754389369	0.14705109105249317	0.10093045988141017	0.42296456679382766	0.007521014599616588	0.0818003214859796	0.6566637089618456	0.3931714783791828	0.9613759806879902	0.6516056150361893	0.6504989556741704	0.5593302753780571	0.8568501350085586	0.6398246578280626	0.5362226399892575	0.4637095580617469	0.1342438501855465	0.46450312092861606	0.15645836895195755	0.37782932658512586	0.10759337886899269	0.6222430592360065	0.05661362357058707	0.7910708301599391	0.47223522801760454	0.5032578759991939	0.21625599033998727	0.7425790433502515	0.1958650707290533	0.08760436737315351	0.6466024232976688	0.6194285126411357	0.19837374679412445	0.564094999262428	0.4576442368387831	0.5943029529500492	0.8576592616571576	0.528705668384359	0.4691607365448032	0.8466509171762089	0.7932414660643832	0.6033495761033199
60	0.01451159181297895	0.1657611077030936	0.39616934554273747	0.3225123846837426	0.007078601976109735	0.16153983541016936	0.7957763975155278	1.0	0.7857573928786965	0.859080984984811	0.31207409439017697	0.4238941925863493	0.7878647623739541	0.3237931820314489	0.14713978783402717	0.33260811650830296	0.14241809811647987	0.22899411451060736	0.018806633612583345	0.2868691128918881	0.00356901113777614	0.4342614864038485	0.3929073632769205	1.0	0.6703811218278865	0.46955957099034945	0.21246368061582585	0.6200338364862786	0.30794341675734493	0.024149004495825303	0.4843761071352654	0.29721457781435673	0.21521333644206114	0.40456638966743697	0.13281151369776542	0.31264141091837333	0.48759762068546914	0.44110336465595634	0.3164239392839673	0.8483185102834907	0.9198639144605177	0.4255457174550353
61	0.03397031719856435	0.29041056874945237	0.13123265185677005	0.23751098542314136	0.03200117976699602	0.07718411254757028	0.3875598935226265	0.40333347506271533	0.3196539931603299	0.6762193731059031	0.7171037363657462	0.06006775045788286	0.5922098257361929	0.0	0.036927621861152136	0.6715803806648314	0.0	0.1423696293300217	0.24162249957257645	0.04730774637986786	0.00458433327179866	0.3392311141913653	0.6030523925555011	0.6206367098248287	0.13568686206573646	0.0	0.5278291385230747	0.31207786786192954	0.16249546608632562	0.14630700064226074	0.0	0.03474704868701941	0.818273490324085	0.0	0.03913647266759248	0.0	0.0	0.0	0.0	0.7566008893829904	0.4323003030476298	0.0
62	0.10342419245319624	0.46396021382876174	0.2779114910412113	0.17752934764997869	0.010617902964164582	0.19411433360352803	0.49637976929902394	0.8047961222841107	0.3087909877288272	0.4757899539080408	0.38087301419861186	0.027667471676094502	0.30432074456317937	0.11075512420070509	0.0	0.5358760323239501	0.11815040106099443	0.06830067418562158	0.03985724055394074	0.06308871081119079	0.003968986523906223	0.038525826572628326	0.9268509879154321	0.3291028179741052	0.2769922277366794	0.01609905734309576	0.34457190294705864	0.2959901566585372	0.1617700398984403	0.1636480411046885	0.057358463827676606	0.0	0.654185124737701	0.0978839881332874	0.3007196061103396	0.07280849335731275	0.0007553379462900646	0.11579266444377084	0.09942092557236858	0.3223318510283491	0.39113156841443175	0.021209690198874857
