affy	entrez	Species	Gene Name
1421599_at	50787	Mus musculus	heparan sulfate 6-O-sulfotransferase 3(Hs6st3)
1422482_at	20174	Mus musculus	RuvB-like protein 2(Ruvbl2)
1432006_at	11772	Mus musculus	adaptor-related protein complex 2, alpha 2 subunit(Ap2a2)
1443756_at	20713	Mus musculus	serine (or cysteine) peptidase inhibitor, clade I, member 1(Serpini1)
1418706_at	76257	Mus musculus	solute carrier family 38, member 3(Slc38a3)
1437615_s_at	107305	Mus musculus	vacuolar protein sorting 37C(Vps37c)
1453114_at	74035	Mus musculus	nucleolar protein 9(Nol9)
1434901_at	381990	Mus musculus	zinc finger and BTB domain containing 2(Zbtb2)
1448745_s_at	16939	Mus musculus	loricrin(Lor)
1456645_at	212198	Mus musculus	WD repeat domain 25(Wdr25)
1432039_a_at	67620	Mus musculus	Lrp2 binding protein(Lrp2bp)
1442120_at	100038502	Mus musculus	RIKEN cDNA G730007D18 gene(G730007D18Rik)
1430658_a_at	76758	Mus musculus	gasdermin A2(Gsdma2)
1435519_at	215449	Mus musculus	RAS related protein 1b(Rap1b)
1420729_at	54382	Mus musculus	2-cell-stage, variable group, member 1(Tcstv1)
1439322_at	102636147	Mus musculus	predicted gene, 33298(Gm33298)
1436810_x_at	67267	Mus musculus	ubiquinol-cytochrome c reductase complex assembly factor 2(Uqcc2)
1451823_at	229927	Mus musculus	chloride channel accessory 3B(Clca3b)
1433199_at	77985	Mus musculus	RIKEN cDNA B230114A03 gene(B230114A03Rik)
1429616_at	109910	Mus musculus	zinc finger protein 91(Zfp91)
1448195_at	102162	Mus musculus	TATA-box binding protein associated factor 5 like(Taf5l)
1441956_s_at	13047	Mus musculus	cut-like homeobox 1(Cux1)
1428216_s_at	66169	Mus musculus	translocase of outer mitochondrial membrane 7 homolog (yeast)(Tomm7)
1454579_at	74940	Mus musculus	RIKEN cDNA 4930474A20 gene(4930474A20Rik)
1430560_at	52040	Mus musculus	protein phosphatase 1, regulatory subunit 10(Ppp1r10)
1427004_at	230904	Mus musculus	F-box protein 2(Fbxo2)
1429946_at	545428	Mus musculus	coiled-coil domain containing 141(Ccdc141)
1430765_at	70639	Mus musculus	RIKEN cDNA 5730521K06 gene(5730521K06Rik)
1421610_at	20312	Mus musculus	chemokine (C-X3-C motif) ligand 1(Cx3cl1)
1447822_x_at	70240	Mus musculus	UFM1-specific peptidase 1(Ufsp1)
1452744_at	70153	Mus musculus	RIKEN cDNA 2210016F16 gene(2210016F16Rik)
1424743_at	72106	Mus musculus	jumonji domain containing 8(Jmjd8)
1416398_at	80889	Mus musculus	mesoderm development candidate 1(Mesdc1)
1421656_at	24064	Mus musculus	sprouty homolog 2 (Drosophila)(Spry2)
1430202_at	73272	Mus musculus	RIKEN cDNA 1700108F19 gene(1700108F19Rik)
1448697_s_at	109065	Mus musculus	dynein, axonemal assembly factor 2(Dnaaf2)
1443882_at	13521	Mus musculus	solute carrier family 26 (sulfate transporter), member 2(Slc26a2)
1434708_at	22346	Mus musculus	von Hippel-Lindau tumor suppressor(Vhl)
1451298_at	217198	Mus musculus	pleckstrin homology domain containing, family H (with MyTH4 domain) member 3(Plekhh3)
1454409_at	74578	Mus musculus	RIKEN cDNA 4833408G04 gene(4833408G04Rik)
1417721_s_at	16792	Mus musculus	lysosomal-associated protein transmembrane 5(Laptm5)
1437717_x_at	381598	Mus musculus	cadherin 11 pseudogene(2610005L07Rik)
1448451_at	11637	Mus musculus	adenylate kinase 2(Ak2)
1423909_at	66058	Mus musculus	transmembrane protein 176A(Tmem176a)
1415683_at	18107	Mus musculus	N-myristoyltransferase 1(Nmt1)
1419885_at	52197	Mus musculus	DNA segment, Chr X, ERATO Doi 223, expressed(DXErtd223e)
1431338_at	268932	Mus musculus	CASK interacting protein 1(Caskin1)
1447713_at	22003	Mus musculus	tropomyosin 1, alpha(Tpm1)
1417322_at	102115	Mus musculus	deoxyhypusine hydroxylase/monooxygenase(Dohh)
1420156_at	102391	Mus musculus	expressed sequence AA408954(AA408954)
1429324_at	71836	Mus musculus	Shc SH2-domain binding protein 1-like(Shcbp1l)
1429036_at	69602	Mus musculus	otopetrin 3(Otop3)
1417743_at	12748	Mus musculus	CDC-like kinase 2(Clk2)
1421062_s_at	12757	Mus musculus	clathrin, light polypeptide (Lca)(Clta)
1419602_at	15399	Mus musculus	homeobox A2(Hoxa2)
1459658_at	17218	Mus musculus	minichromosome maintenance complex component 5(Mcm5)
1447936_at	69221	Mus musculus	RIKEN cDNA 2410006H16 gene(2410006H16Rik)
1428261_at	76457	Mus musculus	coiled-coil domain containing 134(Ccdc134)
1452573_a_at	76251	Mus musculus	excision repair cross-complementing rodent repair deficiency, complementation group 6 like 2(Ercc6l2)
1436641_at	107166	Mus musculus	expressed sequence AI415730(AI415730)
1417670_at	21856	Mus musculus	translocase of inner mitochondrial membrane 44(Timm44)
1437993_x_at	110391	Mus musculus	quinoid dihydropteridine reductase(Qdpr)
1445027_at	237988	Mus musculus	cerebellar degeneration-related protein 2-like(Cdr2l)
1419732_at	65079	Mus musculus	reticulon 4 receptor(Rtn4r)
1443062_at	319974	Mus musculus	autism susceptibility candidate 2(Auts2)
1431944_at	75813	Mus musculus	RIKEN cDNA 4930484H19 gene(4930484H19Rik)
1432397_at	58864	Mus musculus	testis-specific serine kinase 3(Tssk3)
1417906_at	100042055	Mus musculus	predicted gene 10377(Gm10377)
1416593_at	93692	Mus musculus	glutaredoxin(Glrx)
1424776_a_at	246696	Mus musculus	solute carrier family 25, member 28(Slc25a28)
1436513_at	77097	Mus musculus	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2(Tanc2)
1440411_at	237504	Mus musculus	Ras association (RalGDS/AF-6) domain family (N-terminal) member 9(Rassf9)
1432618_at	73145	Mus musculus	RIKEN cDNA 3110037L02 gene(3110037L02Rik)
1460451_at	69671	Mus musculus	transmembrane protein 52(Tmem52)
1434850_at	404710	Mus musculus	IQ motif containing GTPase activating protein 3(Iqgap3)
1458479_at	14211	Mus musculus	structural maintenance of chromosomes 2(Smc2)
1415897_a_at	56615	Mus musculus	microsomal glutathione S-transferase 1(Mgst1)
1430553_at	78789	Mus musculus	V-set and immunoglobulin domain containing 1(Vsig1)
1426327_s_at	109910	Mus musculus	zinc finger protein 91(Zfp91)
1447867_x_at	74653	Mus musculus	protein-O-mannose kinase(Pomk)
1447272_s_at	11982	Mus musculus	ATPase, class V, type 10A(Atp10a)
1450273_at	107527	Mus musculus	interleukin 1 receptor-like 2(Il1rl2)
1438474_at	213121	Mus musculus	ankyrin repeat domain 35(Ankrd35)
1427038_at	18619	Mus musculus	preproenkephalin(Penk)
1440940_at	12295	Mus musculus	calcium channel, voltage-dependent, beta 1 subunit(Cacnb1)
1439099_at	384569	Mus musculus	neuro-oncological ventral antigen 2(Nova2)
1432354_at	384775	Mus musculus	RIKEN cDNA 1700003H04 gene(1700003H04Rik)
1440289_at	213054	Mus musculus	GA repeat binding protein, beta 2(Gabpb2)
1419310_s_at	19727	Mus musculus	regulatory factor X-associated ankyrin-containing protein(Rfxank)
1448892_at	67299	Mus musculus	dedicator of cytokinesis 7(Dock7)
1418042_a_at	27416	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 5(Abcc5)
1447579_at	170728	Mus musculus	reticulon 4 interacting protein 1(Rtn4ip1)
1441377_at	319991	Mus musculus	kinesin family member 6(Kif6)
1439748_at	13483	Mus musculus	dipeptidylpeptidase 6(Dpp6)
1416085_s_at	22682	Mus musculus	zinc finger, AN1-type domain 5(Zfand5)
1449968_s_at	56360	Mus musculus	acyl-CoA thioesterase 9(Acot9)
1427859_at	108022	Mus musculus	immunoglobulin kappa variable 6-15(Igkv6-15)
1438616_x_at	20944	Mus musculus	seminal vesicle secretory protein 5(Svs5)
1417993_at	64335	Mus musculus	seminal vesicle secretory protein 3A(Svs3a)
1426459_s_at	106064	Mus musculus	expressed sequence AW549877(AW549877)
1421634_at	170725	Mus musculus	calpain 8(Capn8)
1427801_at	170657	Mus musculus	keratin associated protein 19-1(Krtap19-1)
1454996_at	72552	Mus musculus	hydroxysteroid dehydrogenase like 1(Hsdl1)
1422647_at	19763	Mus musculus	ring finger protein 1(Ring1)
1431566_at	100043820	Mus musculus	RIKEN cDNA 9030622O22 gene(9030622O22Rik)
1451030_at	77337	Mus musculus	aldo-keto reductase family 1, member C21(Akr1c21)
1419400_at	17777	Mus musculus	microsomal triglyceride transfer protein(Mttp)
1447112_s_at	68631	Mus musculus	crystallin, lambda 1(Cryl1)
1427968_at	100039551	Mus musculus	TGFB-induced factor homeobox 2-like, X-linked 2(Tgif2lx2)
1443916_at	243219	Mus musculus	RIKEN cDNA 2900026A02 gene(2900026A02Rik)
1426959_at	71911	Mus musculus	3-hydroxybutyrate dehydrogenase, type 1(Bdh1)
1460637_s_at	56612	Mus musculus	prefoldin 5(Pfdn5)
1417422_at	14711	Mus musculus	glycine N-methyltransferase(Gnmt)
1419943_s_at	268697	Mus musculus	cyclin B1(Ccnb1)
1428989_at	67679	Mus musculus	RIKEN cDNA 0710001D07 gene(0710001D07Rik)
1443930_at	240063	Mus musculus	zinc finger protein 811(Zfp811)
1431305_at	94178	Mus musculus	mucolipin 1(Mcoln1)
1435164_s_at	22200	Mus musculus	ubiquitin-like modifier activating enzyme 3(Uba3)
1444234_at	17957	Mus musculus	N-ethylmaleimide sensitive fusion protein attachment protein beta(Napb)
1439455_x_at	12340	Mus musculus	capping protein (actin filament) muscle Z-line, alpha 1(Capza1)
1450877_at	79555	Mus musculus	cDNA sequence BC005537(BC005537)
1450747_at	50868	Mus musculus	kelch-like ECH-associated protein 1(Keap1)
1443177_at	100042963	Mus musculus	predicted gene 4132(Gm4132)
1420193_at	16667	Mus musculus	keratin 17(Krt17)
1440874_at	240726	Mus musculus	solute carrier organic anion transporter family, member 5A1(Slco5a1)
1417976_at	11486	Mus musculus	adenosine deaminase(Ada)
1417234_at	17385	Mus musculus	matrix metallopeptidase 11(Mmp11)
1424679_at	17116	Mus musculus	mab-21-like 1 (C. elegans)(Mab21l1)
1437953_at	74182	Mus musculus	glycerophosphocholine phosphodiesterase 1(Gpcpd1)
1445606_a_at	100502745	Mus musculus	RIKEN cDNA 2900009J06 gene(2900009J06Rik)
1415871_at	21810	Mus musculus	transforming growth factor, beta induced(Tgfbi)
1434907_at	237336	Mus musculus	TATA box binding protein-like 1(Tbpl1)
1448485_at	14598	Mus musculus	gamma-glutamyltransferase 1(Ggt1)
1456587_x_at	72046	Mus musculus	upregulator of cell proliferation(Urgcp)
1422984_at	269713	Mus musculus	CAP-GLY domain containing linker protein 2(Clip2)
1449751_at	21366	Mus musculus	solute carrier family 6 (neurotransmitter transporter, taurine), member 6(Slc6a6)
1448562_at	22271	Mus musculus	uridine phosphorylase 1(Upp1)
1450052_at	16563	Mus musculus	kinesin family member 2A(Kif2a)
1425678_a_at	20623	Mus musculus	SNF related kinase(Snrk)
1436550_at	71865	Mus musculus	F-box protein 30(Fbxo30)
1450693_at	56533	Mus musculus	regulator of G-protein signaling 17(Rgs17)
1447708_x_at	207728	Mus musculus	phosphodiesterase 2A, cGMP-stimulated(Pde2a)
1439575_at	381107	Mus musculus	transmembrane protein 232(Tmem232)
1459756_at	78893	Mus musculus	CCR4-NOT transcription complex, subunit 10(Cnot10)
1435816_at	20104	Mus musculus	ribosomal protein S6(Rps6)
1454019_at	100036523	Mus musculus	predicted gene, 16982(Gm16982)
1423804_a_at	319554	Mus musculus	isopentenyl-diphosphate delta isomerase(Idi1)
1422147_a_at	53357	Mus musculus	phospholipase A2, group VI(Pla2g6)
1426724_at	71994	Mus musculus	calponin 3, acidic(Cnn3)
1423516_a_at	18074	Mus musculus	nidogen 2(Nid2)
1431707_a_at	19159	Mus musculus	cytohesin 3(Cyth3)
1435798_a_at	234373	Mus musculus	SURP and G patch domain containing 2(Sugp2)
1454935_at	228859	Mus musculus	fat storage-inducing transmembrane protein 2(Fitm2)
1419528_at	100043194	Mus musculus	sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 2(Sult2a2)
1430321_at	77827	Mus musculus	KRAB-A domain containing 1(Krba1)
1445806_at	238123	Mus musculus	component of oligomeric golgi complex 5(Cog5)
1422564_at	83766	Mus musculus	actin-like 6B(Actl6b)
1448214_at	68263	Mus musculus	pyruvate dehydrogenase (lipoamide) beta(Pdhb)
1422356_at	113857	Mus musculus	vomeronasal 1 receptor 41(Vmn1r41)
1420543_at	246738	Mus musculus	DnaJ heat shock protein family (Hsp40) member C28(Dnajc28)
1430149_at	66091	Mus musculus	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3(Ndufa3)
1416844_at	15468	Mus musculus	protein arginine N-methyltransferase 2(Prmt2)
1440097_at	100040724	Mus musculus	miRNA containing gene(Mirg)
1424861_at	100662	Mus musculus	RIKEN cDNA D930016D06 gene(D930016D06Rik)
1433645_at	100434	Mus musculus	solute carrier family 44, member 1(Slc44a1)
1428281_at	72133	Mus musculus	TruB pseudouridine (psi) synthase family member 1(Trub1)
1423573_at	57357	Mus musculus	steroid 5 alpha-reductase 3(Srd5a3)
1433276_at	75333	Mus musculus	RIKEN cDNA 4930556A12 gene(4930556A12Rik)
1438323_at	233187	Mus musculus	lens intrinsic membrane protein 2(Lim2)
1429864_at	74281	Mus musculus	spermatogenesis and centriole associated 1(Spatc1)
1430126_at	227446	Mus musculus	RIKEN cDNA 2310035C23 gene(2310035C23Rik)
1451853_at	246179	Mus musculus	fukutin(Fktn)
1428676_at	71753	Mus musculus	transmembrane serine protease 6(Tmprss6)
1455633_at	239546	Mus musculus	zinc finger protein 647(Zfp647)
1438483_at	18125	Mus musculus	nitric oxide synthase 1, neuronal(Nos1)
1419179_at	27366	Mus musculus	thioredoxin-like 4A(Txnl4a)
1419116_at	66789	Mus musculus	asparagine-linked glycosylation 14(Alg14)
1436565_at	26366	Mus musculus	carcinoembryonic antigen-related cell adhesion molecule 10(Ceacam10)
1450118_a_at	21957	Mus musculus	troponin T3, skeletal, fast(Tnnt3)
1422044_at	15531	Mus musculus	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1(Ndst1)
1452406_x_at	170942	Mus musculus	erythroid differentiation regulator 1(Erdr1)
1444132_at	71885	Mus musculus	Fanconi anemia core complex associated protein 100(Faap100)
1443865_at	14395	Mus musculus	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2(Gabra2)
1421994_a_at	58240	Mus musculus	HCLS1 binding protein 3(Hs1bp3)
1451767_at	17969	Mus musculus	neutrophil cytosolic factor 1(Ncf1)
1437359_at	19826	Mus musculus	ribonucleic acid binding protein S1(Rnps1)
1448763_at	67979	Mus musculus	ATPase family, AAA domain containing 1(Atad1)
1451169_at	211548	Mus musculus	nodal modulator 1(Nomo1)
1445435_at	213450	Mus musculus	predicted gene 732(Gm732)
1437244_at	237436	Mus musculus	growth arrest-specific 2 like 3(Gas2l3)
1459252_at	245263	Mus musculus	predicted gene 4981(Gm4981)
1450128_at	18780	Mus musculus	phospholipase A2, group IIA (platelets, synovial fluid)(Pla2g2a)
1429340_at	66727	Mus musculus	HRAS-like suppressor family, member 5(Hrasls5)
1416220_at	69019	Mus musculus	signal peptidase complex subunit 1 homolog (S. cerevisiae)(Spcs1)
1447747_x_at	75894	Mus musculus	adenosine deaminase-like(Adal)
1429227_x_at	53605	Mus musculus	nucleosome assembly protein 1-like 1(Nap1l1)
1439853_at	14422	Mus musculus	beta-1,4-N-acetyl-galactosaminyl transferase 2(B4galnt2)
1457350_at	18627	Mus musculus	period circadian clock 2(Per2)
1424212_at	68118	Mus musculus	autophagy related 101(Atg101)
1436647_at	140810	Mus musculus	tau tubulin kinase 2(Ttbk2)
1450287_at	27386	Mus musculus	neuronal PAS domain protein 3(Npas3)
1440170_at	102334	Mus musculus	ankyrin repeat domain 10(Ankrd10)
1451900_at	170731	Mus musculus	mitofusin 2(Mfn2)
1452835_a_at	216151	Mus musculus	polymerase (RNA) mitochondrial (DNA directed)(Polrmt)
1437012_x_at	223864	Mus musculus	Rap guanine nucleotide exchange factor (GEF) 3(Rapgef3)
1430290_at	100042173	Mus musculus	ribosomal protein S15A, pseudogene 6(Rps15a-ps6)
1457379_at	224020	Mus musculus	phosphatidylinositol 4-kinase, catalytic, alpha polypeptide(Pi4ka)
1419289_a_at	20972	Mus musculus	synaptogyrin 1(Syngr1)
1415813_at	11800	Mus musculus	apoptosis inhibitor 5(Api5)
1429879_at	74098	Mus musculus	RIKEN cDNA 0610037L13 gene(0610037L13Rik)
1455108_at	26987	Mus musculus	eukaryotic translation initiation factor 4E member 2(Eif4e2)
1436822_x_at	100040929	Mus musculus	predicted gene 10362(Gm10362)
1437083_at	271711	Mus musculus	transmembrane protein 169(Tmem169)
1438165_x_at	26949	Mus musculus	vesicle amine transport 1(Vat1)
1420188_at	54524	Mus musculus	synaptotagmin VI(Syt6)
1419917_s_at	66676	Mus musculus	transmembrane p24 trafficking protein 7(Tmed7)
1438292_x_at	11534	Mus musculus	adenosine kinase(Adk)
1436474_at	353287	Mus musculus	C-type lectin domain family 18, member A(Clec18a)
1425818_at	75116	Mus musculus	RIKEN cDNA 4930520O04 gene(4930520O04Rik)
1447808_s_at	57738	Mus musculus	solute carrier family 15 (H+/peptide transporter), member 2(Slc15a2)
1460409_at	12894	Mus musculus	carnitine palmitoyltransferase 1a, liver(Cpt1a)
1419131_at	14060	Mus musculus	coagulation factor XIII, beta subunit(F13b)
1449611_at	12521	Mus musculus	CD82 antigen(Cd82)
1454797_at	219024	Mus musculus	transmembrane protein 55b(Tmem55b)
1432841_at	77870	Mus musculus	RIKEN cDNA E130116L18 gene(E130116L18Rik)
1454698_at	57874	Mus musculus	3-hydroxyacyl-CoA dehydratase 3(Hacd3)
1448182_a_at	12484	Mus musculus	CD24a antigen(Cd24a)
1426211_at	234371	Mus musculus	transmembrane protein 161A(Tmem161a)
1443655_s_at	18704	Mus musculus	phosphatidylinositol 3-kinase, C2 domain containing, alpha polypeptide(Pik3c2a)
1418776_at	76074	Mus musculus	guanylate-binding protein 8(Gbp8)
1418657_at	70020	Mus musculus	INO80 complex subunit B(Ino80b)
1454030_at	52036	Mus musculus	protein phosphatase 6, regulatory subunit 3(Ppp6r3)
1435702_s_at	22627	Mus musculus	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide(Ywhae)
1450862_at	19366	Mus musculus	RAD54 like (S. cerevisiae)(Rad54l)
1441825_x_at	20589	Mus musculus	immunoglobulin mu binding protein 2(Ighmbp2)
1438119_at	16412	Mus musculus	integrin beta 1 (fibronectin receptor beta)(Itgb1)
1456772_at	17969	Mus musculus	neutrophil cytosolic factor 1(Ncf1)
1423533_a_at	59040	Mus musculus	ras homolog family member T1(Rhot1)
1451600_s_at	13909	Mus musculus	carboxylesterase 3B(Ces3b)
1457423_at	338370	Mus musculus	sodium leak channel, non-selective(Nalcn)
1436195_at	192976	Mus musculus	leucine rich repeat containing 75A(Lrrc75a)
1433802_at	381199	Mus musculus	transmembrane protein 151A(Tmem151a)
1420124_s_at	102791	Mus musculus	T cell leukemia translocation altered gene(Tcta)
1416478_a_at	17448	Mus musculus	malate dehydrogenase 2, NAD (mitochondrial)(Mdh2)
1428489_at	67197	Mus musculus	zinc finger CCHC-type and RNA binding motif 1(Zcrb1)
1428569_at	68127	Mus musculus	RIKEN cDNA B230217C12 gene(B230217C12Rik)
1432745_at	102633149	Mus musculus	uncharacterized LOC102633149(LOC102633149)
1452016_at	11690	Mus musculus	arachidonate 5-lipoxygenase activating protein(Alox5ap)
1440226_at	240034	Mus musculus	zinc finger protein 760(Zfp760)
1440553_at	26922	Mus musculus	mitochondrial trans-2-enoyl-CoA reductase(Mecr)
1456482_at	18710	Mus musculus	phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)(Pik3r3)
1440331_at	70750	Mus musculus	3-ketodihydrosphingosine reductase(Kdsr)
1422816_a_at	70603	Mus musculus	mutY DNA glycosylase(Mutyh)
1417273_at	27273	Mus musculus	pyruvate dehydrogenase kinase, isoenzyme 4(Pdk4)
1448770_a_at	11983	Mus musculus	ATPase inhibitory factor 1(Atpif1)
1430784_a_at	74370	Mus musculus	regulatory associated protein of MTOR, complex 1(Rptor)
1437211_x_at	68801	Mus musculus	ELOVL family member 5, elongation of long chain fatty acids (yeast)(Elovl5)
1428728_at	69663	Mus musculus	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51(Ddx51)
1416236_a_at	14012	Mus musculus	myelin protein zero-like 2(Mpzl2)
1417590_at	104086	Mus musculus	cytochrome P450, family 27, subfamily a, polypeptide 1(Cyp27a1)
1448414_at	19355	Mus musculus	RAD1 checkpoint DNA exonuclease(Rad1)
1444763_at	19272	Mus musculus	protein tyrosine phosphatase, receptor type, K(Ptprk)
1455371_at	19727	Mus musculus	regulatory factor X-associated ankyrin-containing protein(Rfxank)
1419251_at	13858	Mus musculus	epidermal growth factor receptor pathway substrate 15(Eps15)
1416590_a_at	19376	Mus musculus	RAB34, member RAS oncogene family(Rab34)
1437446_at	19344	Mus musculus	RAB5B, member RAS oncogene family(Rab5b)
1443836_x_at	67561	Mus musculus	WD repeat domain 48(Wdr48)
1422005_at	19106	Mus musculus	eukaryotic translation initiation factor 2-alpha kinase 2(Eif2ak2)
1418743_a_at	57816	Mus musculus	tescalcin(Tesc)
1453028_at	70802	Mus musculus	PWWP domain containing 2A(Pwwp2a)
1421855_at	14190	Mus musculus	fibrinogen-like protein 2(Fgl2)
1451064_a_at	107272	Mus musculus	phosphoserine aminotransferase 1(Psat1)
1417485_at	15891	Mus musculus	integrin binding sialoprotein(Ibsp)
1425330_a_at	19043	Mus musculus	protein phosphatase 1B, magnesium dependent, beta isoform(Ppm1b)
1433112_at	71143	Mus musculus	RIKEN cDNA 4933424L07 gene(4933424L07Rik)
1420839_at	83435	Mus musculus	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3(Plekha3)
1419697_at	56066	Mus musculus	chemokine (C-X-C motif) ligand 11(Cxcl11)
1430728_at	114666	Mus musculus	keratin associated protein 5-5(Krtap5-5)
1417633_at	20657	Mus musculus	superoxide dismutase 3, extracellular(Sod3)
1425231_a_at	22704	Mus musculus	zinc finger protein 46(Zfp46)
1446519_at	319659	Mus musculus	RIKEN cDNA A730091E23 gene(A730091E23Rik)
1417754_at	106021	Mus musculus	topoisomerase I binding, arginine/serine-rich(Topors)
1425335_at	12525	Mus musculus	CD8 antigen, alpha chain(Cd8a)
1418881_at	117148	Mus musculus	N-terminal EF-hand calcium binding protein 2(Necab2)
1448158_at	20969	Mus musculus	syndecan 1(Sdc1)
1440303_at	66432	Mus musculus	solute carrier family 7, member 6 opposite strand(Slc7a6os)
1441369_at	77524	Mus musculus	RIKEN cDNA C030017B01 gene(C030017B01Rik)
1439100_s_at	16693	Mus musculus	keratin associated protein 11-1(Krtap11-1)
1460197_a_at	117167	Mus musculus	STEAP family member 4(Steap4)
1427925_at	67727	Mus musculus	syntaxin 17(Stx17)
1452863_at	75480	Mus musculus	RIKEN cDNA 1700003F12 gene(1700003F12Rik)
1440794_x_at	69476	Mus musculus	RIKEN cDNA 1700029M03 gene(1700029M03Rik)
1455909_at	77424	Mus musculus	serine protease inhibitor, Kazal type-like(Spinkl)
1433149_at	75108	Mus musculus	RIKEN cDNA 4930513N20 gene(4930513N20Rik)
1429482_at	384775	Mus musculus	RIKEN cDNA 1700003H04 gene(1700003H04Rik)
1427557_at	223774	Mus musculus	asparagine-linked glycosylation 12 (alpha-1,6-mannosyltransferase)(Alg12)
1428485_at	76459	Mus musculus	carbonic anhydrase 12(Car12)
1449237_at	23801	Mus musculus	arachidonate lipoxygenase 3(Aloxe3)
1419375_at	22380	Mus musculus	WW domain binding protein 4(Wbp4)
1457455_at	235469	Mus musculus	zinc finger protein 280D(Zfp280d)
1447564_x_at	330890	Mus musculus	piwi-like RNA-mediated gene silencing 4(Piwil4)
1435249_at	107182	Mus musculus	B-TFIID TATA-box binding protein associated factor 1(Btaf1)
1439931_at	56637	Mus musculus	glycogen synthase kinase 3 beta(Gsk3b)
1435760_at	209294	Mus musculus	cystatin A1(Csta1)
1429991_at	73191	Mus musculus	Fez family zinc finger 1(Fezf1)
1427483_at	229731	Mus musculus	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24(Slc25a24)
1417884_at	104681	Mus musculus	solute carrier family 16 (monocarboxylic acid transporters), member 6(Slc16a6)
1451393_at	74043	Mus musculus	peroxisomal biogenesis factor 26(Pex26)
1426973_at	100129	Mus musculus	G protein-coupled receptor 153(Gpr153)
1426068_at	224022	Mus musculus	solute carrier family 7 (cationic amino acid transporter, y+ system), member 4(Slc7a4)
1452886_at	66689	Mus musculus	kelch-like 28(Klhl28)
1426082_a_at	229699	Mus musculus	solute carrier family 16 (monocarboxylic acid transporters), member 4(Slc16a4)
1426469_a_at	21374	Mus musculus	TATA box binding protein(Tbp)
1431791_a_at	19249	Mus musculus	protein tyrosine phosphatase, non-receptor type 13(Ptpn13)
1436380_at	226751	Mus musculus	CDC42 binding protein kinase alpha(Cdc42bpa)
1456231_at	237625	Mus musculus	phospholipase A2, group III(Pla2g3)
1457936_at	26419	Mus musculus	mitogen-activated protein kinase 8(Mapk8)
1437699_at	320908	Mus musculus	RIKEN cDNA E430014B02 gene(E430014B02Rik)
1445445_s_at	19216	Mus musculus	prostaglandin E receptor 1 (subtype EP1)(Ptger1)
1449630_s_at	226778	Mus musculus	MAP/microtubule affinity regulating kinase 1(Mark1)
1456407_a_at	228012	Mus musculus	tousled-like kinase 1(Tlk1)
1448497_at	13872	Mus musculus	excision repair cross-complementing rodent repair deficiency, complementation group 3(Ercc3)
1459296_at	268470	Mus musculus	ubiquitin-conjugating enzyme E2Z(Ube2z)
1450854_at	18813	Mus musculus	proliferation-associated 2G4(Pa2g4)
1421480_a_at	110532	Mus musculus	adenosine deaminase, RNA-specific, B1(Adarb1)
1454372_at	12519	Mus musculus	CD80 antigen(Cd80)
1435783_at	320557	Mus musculus	family with sequence similarity 169, member A(Fam169a)
1460318_at	13009	Mus musculus	cysteine and glycine-rich protein 3(Csrp3)
1442581_at	16706	Mus musculus	kinase suppressor of ras 1(Ksr1)
1436843_at	77604	Mus musculus	RNA binding motif protein 12 B2(Rbm12b2)
1456406_at	100008567	Mus musculus	predicted gene 14964(Gm14964)
1445173_at	234915	Mus musculus	centrosomal protein 126(Cep126)
1442745_x_at	170791	Mus musculus	RNA binding motif protein 39(Rbm39)
1444400_at	19645	Mus musculus	retinoblastoma 1(Rb1)
1423867_at	20714	Mus musculus	serine (or cysteine) peptidase inhibitor, clade A, member 3K(Serpina3k)
1420637_at	110639	Mus musculus	phosphoribosyl pyrophosphate synthetase 2(Prps2)
1451728_at	73447	Mus musculus	WD repeat domain 13(Wdr13)
1420471_at	15171	Mus musculus	hypocretin(Hcrt)
1421810_at	13356	Mus musculus	DiGeorge syndrome critical region gene 2(Dgcr2)
1456889_at	100043189	Mus musculus	predicted gene 4285(Gm4285)
1448549_a_at	13478	Mus musculus	dolichyl-phosphate (UDP-N-acetylglucosamine) acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)(Dpagt1)
1440293_at	244895	Mus musculus	pseudopodium-enriched atypical kinase 1(Peak1)
1425613_at	116731	Mus musculus	protocadherin alpha 1(Pcdha1)
1425870_a_at	80906	Mus musculus	Kv channel-interacting protein 2(Kcnip2)
1457237_at	105559	Mus musculus	muscleblind-like 2(Mbnl2)
1449897_a_at	17763	Mus musculus	mature T cell proliferation 1(Mtcp1)
1420873_at	19230	Mus musculus	twinfilin actin binding protein 1(Twf1)
1423814_at	72935	Mus musculus	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41(Ddx41)
