affy	entrez	Species	Gene Name
1417136_s_at	20817	Mus musculus	serine/arginine-rich protein specific kinase 2(Srpk2)
1428483_a_at	66578	Mus musculus	MIS18 kinetochore protein A(Mis18a)
1441287_at	103537	Mus musculus	mbt domain containing 1(Mbtd1)
1419646_a_at	17196	Mus musculus	myelin basic protein(Mbp)
1431435_at	102631579	Mus musculus	predicted gene, 26752(Gm26752)
1432729_at	76009	Mus musculus	RIKEN cDNA 5830415G21 gene(5830415G21Rik)
1435315_s_at	67420	Mus musculus	fatty acyl CoA reductase 1(Far1)
1427176_s_at	233066	Mus musculus	spectrin repeat containing, nuclear envelope family member 4(Syne4)
1450261_a_at	20493	Mus musculus	solute carrier family 10 (sodium/bile acid cotransporter family), member 1(Slc10a1)
1420516_at	50518	Mus musculus	nonagouti(a)
1435909_at	77533	Mus musculus	RIKEN cDNA C030034I22 gene(C030034I22Rik)
1416023_at	14077	Mus musculus	fatty acid binding protein 3, muscle and heart(Fabp3)
1422032_a_at	65098	Mus musculus	zinc finger, AN1-type domain 6(Zfand6)
1418570_at	59287	Mus musculus	nicastrin(Ncstn)
1432733_at	74056	Mus musculus	RIKEN cDNA 4933402E15 gene(4933402E15Rik)
1427947_at	232987	Mus musculus	B9 protein domain 2(B9d2)
1440805_at	22385	Mus musculus	bromodomain adjacent to zinc finger domain, 1B(Baz1b)
1446554_at	243816	Mus musculus	glycoprotein 6 (platelet)(Gp6)
1432561_at	78055	Mus musculus	RIKEN cDNA 4930569F06 gene(4930569F06Rik)
1449231_at	63872	Mus musculus	zinc finger protein 296(Zfp296)
1427596_at	22097	Mus musculus	X (inactive)-specific transcript, opposite strand(Tsix)
1434443_at	17222	Mus musculus	anaphase promoting complex subunit 1(Anapc1)
1426215_at	13195	Mus musculus	dopa decarboxylase(Ddc)
1418197_at	22227	Mus musculus	uncoupling protein 1 (mitochondrial, proton carrier)(Ucp1)
1450768_at	13383	Mus musculus	discs, large homolog 1 (Drosophila)(Dlg1)
1449355_a_at	13859	Mus musculus	epidermal growth factor receptor pathway substrate 15-like 1(Eps15l1)
1440222_at	20655	Mus musculus	superoxide dismutase 1, soluble(Sod1)
1443748_x_at	329154	Mus musculus	ankyrin repeat domain 44(Ankrd44)
1440944_at	77531	Mus musculus	ankyrin repeat and sterile alpha motif domain containing 1B(Anks1b)
1438177_x_at	100862375	Mus musculus	predicted gene, 21685(Gm21685)
1456296_at	319675	Mus musculus	centrosomal protein 295(Cep295)
